year,age,males,females
2020,0,32595287,31752842
2020,10,24689037,23810258
2020,20,16961120,16462602
2020,30,12249509,12037246
2020,40,8635062,8511730
2020,50,5310142,5366430
2020,60,3104721,3283175
2020,70,1388538,1494958
2020,80,309754,364984
