year,age,males,females
2020,0,3461843,3421062
2020,5,3358086,3341876
2020,10,3342394,3335162
2020,15,2889752,2921943
2020,20,2391910,2486927
2020,25,2080521,2165808
2020,30,1928569,1935964
2020,35,1630031,1589314
2020,40,1297081,1267554
2020,45,1021090,1020652
2020,50,789323,813333
2020,55,577686,620190
2020,60,394467,446031
2020,65,247639,297962
2020,70,181528,212756
2020,75,96217,144033
2020,80,50764,97746
2020,85,26394,53519
2020,90,10774,22312
2020,95,3603,8021
2020,100,1018,2911
