year,age,males,females
2020,0,15782662,15698699
2020,10,10629396,10650799
2020,20,7390478,7451054
2020,30,4939352,5039380
2020,40,3171978,3293185
2020,50,2163332,2316631
2020,60,1263132,1412959
2020,70,589058,723303
2020,80,136585,201171
