year,age,males,females
2020,0,2084100,2052279
2020,5,1883625,1866731
2020,10,1717542,1686267
2020,15,1521443,1473856
2020,20,1273668,1250891
2020,25,1032184,1033059
2020,30,855278,844867
2020,35,774848,766331
2020,40,678276,668131
2020,45,534012,493956
2020,50,397322,359191
2020,55,273342,263423
2020,60,191658,189653
2020,65,140333,133487
2020,70,91330,79606
2020,75,55473,50954
2020,80,28354,30610
2020,85,11168,14882
2020,90,3065,4879
2020,95,546,995
2020,100,49,116
