year,n_alive
1950,2736000
1951,2816200
1952,2896400
1953,2976600
1954,3056800
1955,3137000
1956,3244800
1957,3352600
1958,3460400
1959,3568200
1960,3676000
1961,3829400
1962,3982800
1963,4136200
1964,4289600
1965,4443000
1966,4636800
1967,4830600
1968,5024400
1969,5218200
1970,5412000
1971,5684600
1972,5957200
1973,6229800
1974,6502400
1975,6775000
1976,7064200
1977,7353400
1978,7642600
1979,7931800
1980,8221000
1981,8584800
1982,8948600
1983,9312400
1984,9676200
1985,10040000
1986,10469600
1987,10899200
1988,11328800
1989,11758400
1990,12188000
1991,12721000
1992,13254000
1993,13787000
1994,14320000
1995,14853000
1996,15421800
1997,15990600
1998,16559400
1999,17128200
2000,17697000
2001,18170800
2002,18644600
2003,19118400
2004,19592200
2005,20066000
2006,20550000
2007,21034000
2008,21518000
2009,22002000
2010,22486000
2011,23038000
2012,23590000
2013,24142000
2014,24694000
2015,25246000
2016,25979600
2017,26713200
2018,27446800
2019,28180400
2020,28914000
2021,29673800
2022,30433600
2023,31193400
2024,31953200
2025,32713000
2026,33510600
2027,34308200
2028,35105800
2029,35903400
2030,36701000
2031,37567600
2032,38434200
2033,39300800
2034,40167400
2035,41034000
2036,41975800
2037,42917600
2038,43859400
2039,44801200
2040,45743000
2041,46737400
2042,47731800
2043,48726200
2044,49720600
2045,50715000
2046,51721400
2047,52727800
2048,53734200
2049,54740600
2050,55747000
2051,56760000
2052,57773000
2053,58786000
2054,59799000
2055,60812000
2056,61821800
2057,62831600
2058,63841400
2059,64851200
2060,65861000
2061,66882400
2062,67903800
2063,68925200
2064,69946600
2065,70968000
2066,72007600
2067,73047200
2068,74086800
2069,75126400
2070,76166000
2071,77179600
2072,78193200
2073,79206800
2074,80220400
2075,81234000
2076,82223000
2077,83212000
2078,84201000
2079,85190000
2080,86179000
2081,87132400
2082,88085800
2083,89039200
2084,89992600
2085,90946000
2086,91868400
2087,92790800
2088,93713200
2089,94635600
2090,95558000
2091,96441600
2092,97325200
2093,98208800
2094,99092400
2095,99976000
2096,100789800
2097,101603600
2098,102417400
2099,103231200
2100,104045000
2101,104045000
