year,age,males,females
2020,0,8635325,8560671
2020,5,7147337,7138028
2020,10,5839006,5850717
2020,15,4790390,4800082
2020,20,4048310,4066076
2020,25,3342168,3384978
2020,30,2750497,2801763
2020,35,2188855,2237617
2020,40,1720734,1775290
2020,45,1451244,1517895
2020,50,1209031,1284451
2020,55,954301,1032180
2020,60,731621,808336
2020,65,531511,604623
2020,70,369411,441984
2020,75,219647,281319
2020,80,99193,138676
2020,85,31264,49339
2020,90,5714,11641
2020,95,407,1449
2020,100,7,66
