year,age,males,females
2020,0,8884102,8498812
2020,5,7839875,7541703
2020,10,7360342,7118561
2020,15,6681794,6504054
2020,20,5837929,5707622
2020,25,4953821,4863109
2020,30,4072893,4003313
2020,35,3113180,3095424
2020,40,2531236,2590418
2020,45,2013786,2111829
2020,50,1665290,1777808
2020,55,1313085,1419957
2020,60,962685,1060088
2020,65,702727,797634
2020,70,492946,576242
2020,75,290696,357259
2020,80,134721,177651
2020,85,45286,64809
2020,90,9119,15744
2020,95,964,2158
2020,100,69,162
