year,age,males,females
2020,0,2898381,2895379
2020,10,2267002,2287814
2020,20,1627449,1656664
2020,30,1201381,1207483
2020,40,750870,778040
2020,50,369805,432091
2020,60,156039,218011
2020,70,54427,88143
2020,80,13254,25471
