year,age,males,females
2020,0,3790713,3713291
2020,5,3389067,3346971
2020,10,3023539,3016051
2020,15,2648087,2664423
2020,20,2240704,2266027
2020,25,1825493,1859384
2020,30,1374922,1413565
2020,35,987902,1025850
2020,40,759356,800989
2020,45,613289,663097
2020,50,469829,530886
2020,55,324942,396141
2020,60,224811,296020
2020,65,151873,213860
2020,70,88454,126426
2020,75,37581,57802
2020,80,15818,27742
2020,85,5201,10110
2020,90,1198,2421
2020,95,251,406
2020,100,57,52
