year,age,males,females
2020,0,6819929,6762938
2020,10,6232146,6257105
2020,20,4472431,4652735
2020,30,3558600,3525278
2020,40,2318171,2288206
2020,50,1367009,1433523
2020,60,642106,743993
2020,70,277745,356789
2020,80,92553,184509
