year,age,males,females
2020,0,1514353,1510051
2020,5,1384028,1385328
2020,10,1233510,1240426
2020,15,1033492,1047388
2020,20,875206,891354
2020,25,752243,765310
2020,30,653135,658236
2020,35,548246,549247
2020,40,433442,440597
2020,45,317428,337443
2020,50,219108,248461
2020,55,150697,183630
2020,60,97577,130349
2020,65,58462,87662
2020,70,34740,55432
2020,75,19687,32711
2020,80,9135,16504
2020,85,3172,6627
2020,90,806,1927
2020,95,129,371
2020,100,12,42
