year,age,males,females
2020,0,16723977,16040515
2020,10,14042136,13622615
2020,20,10791750,10570731
2020,30,7186073,7098737
2020,40,4545022,4702247
2020,50,2978375,3197765
2020,60,1665412,1857722
2020,70,783642,933501
2020,80,190159,260524
